Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dragon,&&&&&&&&&&,monster,1,1,PRACTICE,???
2,+,infant,&&&&&&&&&&,baby,1,1,PRACTICE,???
3,+,storm,&&&&&&&&&&,cloud,1,1,PRACTICE,???
4,+,water,&&&&&&&&&&,sprinkler,1,1,PRACTICE,???
5,+,movie,&&&&&&&&&&,purpose,2,0,PRACTICE,ABSTRACT
6,+,tree,&&&&&&&&&&,sin,2,0,PRACTICE,ABSTRACT
7,+,brain,&&&&&&&&&&,idea,2,0,PRACTICE,ABSTRACT
8,+,rock,&&&&&&&&&&,envy,2,0,PRACTICE,ABSTRACT
9,+,car,&&&&&&&&&&&&,truck,1,1,TEST,VEHICLE
10,+,van,&&&&&&&&&&&&,ambulance,1,1,TEST,VEHICLE
11,+,helicopter,&&&&&&&&&&&&,airplane,1,1,TEST,VEHICLE
12,+,sailboat,&&&&&&&&&&&&,canoe,1,1,TEST,VEHICLE
13,+,bike,&&&&&&&&&&&&,plum,1,0,TEST,FRUIT
14,+,motorcycle,&&&&&&&&&&&&,rake,1,0,TEST,TOOL
15,+,trolley,&&&&&&&&&&&&,stork,1,0,TEST,BIRD
16,+,taxi,&&&&&&&&&&&&,belt,1,0,TEST,CLOTHING
17,+,giraffe,&&&&&&&&&&&&,elephant,1,1,TEST,MAMMAL
18,+,dog,&&&&&&&&&&&&,cat,1,1,TEST,MAMMAL
19,+,horse,&&&&&&&&&&&&,zebra,1,1,TEST,MAMMAL
20,+,donkey,&&&&&&&&&&&&,camel,1,1,TEST,MAMMAL
21,+,lion,&&&&&&&&&&&&,scooter,1,0,TEST,VEHICLE
22,+,cow,&&&&&&&&&&&&,orange,1,0,TEST,FRUIT
23,+,sheep,&&&&&&&&&&&&,axe,1,0,TEST,TOOL
24,+,raccoon,&&&&&&&&&&&&,raven,1,0,TEST,BIRD
25,+,knife,&&&&&&&&&&&&,sword,1,1,TEST,WEAPON
26,+,slingshot,&&&&&&&&&&&&,spear,1,1,TEST,WEAPON
27,+,cannon,&&&&&&&&&&&&,grenade,1,1,TEST,WEAPON
28,+,club,&&&&&&&&&&&&,bat,1,1,TEST,WEAPON
29,+,rifle,&&&&&&&&&&&&,cheetah,1,0,TEST,MAMMAL
30,+,bow,&&&&&&&&&&&&,tractor,1,0,TEST,VEHICLE
31,+,bomb,&&&&&&&&&&&&,honeydew,1,0,TEST,FRUIT
32,+,whip,&&&&&&&&&&&&,sledgehammer,1,0,TEST,TOOL
33,+,celery,&&&&&&&&&&&&,carrot,1,1,TEST,VEGETABLE
34,+,broccoli,&&&&&&&&&&&&,cauliflower,1,1,TEST,VEGETABLE
35,+,radish,&&&&&&&&&&&&,cucumber,1,1,TEST,VEGETABLE
36,+,potato,&&&&&&&&&&&&,turnip,1,1,TEST,VEGETABLE
37,+,peas,&&&&&&&&&&&&,shotgun,1,0,TEST,WEAPON
38,+,onions,&&&&&&&&&&&&,buffalo,1,0,TEST,MAMMAL
39,+,lettuce,&&&&&&&&&&&&,subway,1,0,TEST,VEHICLE
40,+,pepper,&&&&&&&&&&&&,cranberry,1,0,TEST,FRUIT
41,+,jacket,&&&&&&&&&&&&,vest,1,1,TEST,CLOTHING
42,+,slippers,&&&&&&&&&&&&,sandals,1,1,TEST,CLOTHING
43,+,scarf,&&&&&&&&&&&&,mittens,1,1,TEST,CLOTHING
44,+,shoes,&&&&&&&&&&&&,boots,1,1,TEST,CLOTHING
45,+,sweater,&&&&&&&&&&&&,asparagus,1,0,TEST,VEGETABLE
46,+,coat,&&&&&&&&&&&&,arrow,1,0,TEST,WEAPON
47,+,pants,&&&&&&&&&&&&,lamb,1,0,TEST,MAMMAL
48,+,socks,&&&&&&&&&&&&,bus,1,0,TEST,VEHICLE
49,+,chicken,&&&&&&&&&&&&,turkey,1,1,TEST,BIRD
50,+,parakeet,&&&&&&&&&&&&,canary,1,1,TEST,BIRD
51,+,hawk,&&&&&&&&&&&&,eagle,1,1,TEST,BIRD
52,+,peacock,&&&&&&&&&&&&,woodpecker,1,1,TEST,BIRD
53,+,duck,&&&&&&&&&&&&,skirt,1,0,TEST,CLOTHING
54,+,ostrich,&&&&&&&&&&&&,garlic,1,0,TEST,VEGETABLE
55,+,swan,&&&&&&&&&&&&,missile,1,0,TEST,WEAPON
56,+,crow,&&&&&&&&&&&&,skunk,1,0,TEST,MAMMAL
57,+,spade,&&&&&&&&&&&&,shovel,1,1,TEST,TOOL
58,+,wrench,&&&&&&&&&&&&,pliers,1,1,TEST,TOOL
59,+,drill,&&&&&&&&&&&&,screws,1,1,TEST,TOOL
60,+,scissors,&&&&&&&&&&&&,pencil,1,1,TEST,TOOL
61,+,hammer,&&&&&&&&&&&&,seagull,1,0,TEST,BIRD
62,+,hoe,&&&&&&&&&&&&,swimsuit,1,0,TEST,CLOTHING
