Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dragon,&&&&&&&&&&,monster,1,1,PRACTICE,???
2,+,infant,&&&&&&&&&&,baby,1,1,PRACTICE,???
3,+,storm,&&&&&&&&&&,cloud,1,1,PRACTICE,???
4,+,water,&&&&&&&&&&,sprinkler,1,1,PRACTICE,???
5,+,movie,&&&&&&&&&&,purpose,2,0,PRACTICE,ABSTRACT
6,+,tree,&&&&&&&&&&,sin,2,0,PRACTICE,ABSTRACT
7,+,brain,&&&&&&&&&&,idea,2,0,PRACTICE,ABSTRACT
8,+,rock,&&&&&&&&&&,envy,2,0,PRACTICE,ABSTRACT
9,+,car,&&&&&&&&&&&&,banana,1,0,TEST,FRUIT
10,+,van,&&&&&&&&&&&&,pliers,1,0,TEST,TOOL
11,+,helicopter,&&&&&&&&&&&&,eagle,1,0,TEST,BIRD
12,+,sailboat,&&&&&&&&&&&&,boots,1,0,TEST,CLOTHING
13,+,bike,&&&&&&&&&&&&,scooter,1,1,TEST,VEHICLE
14,+,motorcycle,&&&&&&&&&&&&,tractor,1,1,TEST,VEHICLE
15,+,trolley,&&&&&&&&&&&&,subway,1,1,TEST,VEHICLE
16,+,taxi,&&&&&&&&&&&&,bus,1,1,TEST,VEHICLE
17,+,giraffe,&&&&&&&&&&&&,truck,1,0,TEST,VEHICLE
18,+,dog,&&&&&&&&&&&&,lime,1,0,TEST,FRUIT
19,+,horse,&&&&&&&&&&&&,screws,1,0,TEST,TOOL
20,+,donkey,&&&&&&&&&&&&,woodpecker,1,0,TEST,BIRD
21,+,lion,&&&&&&&&&&&&,cheetah,1,1,TEST,MAMMAL
22,+,cow,&&&&&&&&&&&&,buffalo,1,1,TEST,MAMMAL
23,+,sheep,&&&&&&&&&&&&,lamb,1,1,TEST,MAMMAL
24,+,raccoon,&&&&&&&&&&&&,skunk,1,1,TEST,MAMMAL
25,+,knife,&&&&&&&&&&&&,elephant,1,0,TEST,MAMMAL
26,+,slingshot,&&&&&&&&&&&&,ambulance,1,0,TEST,VEHICLE
27,+,cannon,&&&&&&&&&&&&,pineapple,1,0,TEST,FRUIT
28,+,club,&&&&&&&&&&&&,pencil,1,0,TEST,TOOL
29,+,rifle,&&&&&&&&&&&&,shotgun,1,1,TEST,WEAPON
30,+,bow,&&&&&&&&&&&&,arrow,1,1,TEST,WEAPON
31,+,bomb,&&&&&&&&&&&&,missile,1,1,TEST,WEAPON
32,+,whip,&&&&&&&&&&&&,hatchet,1,1,TEST,WEAPON
33,+,celery,&&&&&&&&&&&&,sword,1,0,TEST,WEAPON
34,+,broccoli,&&&&&&&&&&&&,cat,1,0,TEST,MAMMAL
35,+,radish,&&&&&&&&&&&&,airplane,1,0,TEST,VEHICLE
36,+,potato,&&&&&&&&&&&&,raspberry,1,0,TEST,FRUIT
37,+,peas,&&&&&&&&&&&&,asparagus,1,1,TEST,VEGETABLE
38,+,onions,&&&&&&&&&&&&,garlic,1,1,TEST,VEGETABLE
39,+,lettuce,&&&&&&&&&&&&,cabbage,1,1,TEST,VEGETABLE
40,+,pepper,&&&&&&&&&&&&,spinach,1,1,TEST,VEGETABLE
41,+,jacket,&&&&&&&&&&&&,carrot,1,0,TEST,VEGETABLE
42,+,slippers,&&&&&&&&&&&&,spear,1,0,TEST,WEAPON
43,+,scarf,&&&&&&&&&&&&,zebra,1,0,TEST,MAMMAL
44,+,shoes,&&&&&&&&&&&&,canoe,1,0,TEST,VEHICLE
45,+,sweater,&&&&&&&&&&&&,skirt,1,1,TEST,CLOTHING
46,+,coat,&&&&&&&&&&&&,swimsuit,1,1,TEST,CLOTHING
47,+,pants,&&&&&&&&&&&&,jeans,1,1,TEST,CLOTHING
48,+,socks,&&&&&&&&&&&&,belt,1,1,TEST,CLOTHING
49,+,chicken,&&&&&&&&&&&&,vest,1,0,TEST,CLOTHING
50,+,parakeet,&&&&&&&&&&&&,cauliflower,1,0,TEST,VEGETABLE
51,+,hawk,&&&&&&&&&&&&,grenade,1,0,TEST,WEAPON
52,+,peacock,&&&&&&&&&&&&,camel,1,0,TEST,MAMMAL
53,+,duck,&&&&&&&&&&&&,seagull,1,1,TEST,BIRD
54,+,ostrich,&&&&&&&&&&&&,penguin,1,1,TEST,BIRD
55,+,swan,&&&&&&&&&&&&,stork,1,1,TEST,BIRD
56,+,crow,&&&&&&&&&&&&,raven,1,1,TEST,BIRD
57,+,spade,&&&&&&&&&&&&,turkey,1,0,TEST,BIRD
58,+,wrench,&&&&&&&&&&&&,sandals,1,0,TEST,CLOTHING
59,+,drill,&&&&&&&&&&&&,cucumber,1,0,TEST,VEGETABLE
60,+,scissors,&&&&&&&&&&&&,bat,1,0,TEST,WEAPON
61,+,hammer,&&&&&&&&&&&&,screwdriver,1,1,TEST,TOOL
62,+,hoe,&&&&&&&&&&&&,rake,1,1,TEST,TOOL
